merger,metric,n_pairs,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r
weight_avg,right_subspace_overlap_top_k,190,-0.05855038649001503,0.4223075536713273,-0.12988642144369344,0.0740798012276124,0.05855038649001503,0.12988642144369344
weight_avg,right_subspace_overlap_bottom_k,190,-0.006511403960302722,0.9289530257668142,-0.07975911740625653,0.2740021930527079,0.006511403960302722,0.07975911740625653
weight_avg,interaction_matrix_overlap_top_k,190,-0.0017486652046207526,0.9808967626535522,-0.10592238237347693,0.14580787477561016,0.0017486652046207526,0.10592238237347693
weight_avg,interaction_matrix_overlap_bottom_k,190,-0.008751027056013948,0.9046171184825058,-0.08688167001302088,0.2332872599423181,0.008751027056013948,0.08688167001302088
weight_avg,effective_rank,190,0.107036051145146,0.1415942223063636,-0.022019377507352708,0.7629952405246547,0.107036051145146,0.022019377507352708
weight_avg,effective_rank_mergeability_score,190,-0.107036051145146,0.1415942223063636,0.022019377507352708,0.7629952405246547,0.107036051145146,0.022019377507352708
weight_avg,stable_rank,190,0.09292829395903943,0.2022254906326437,-0.022019377507352708,0.7629952405246547,0.09292829395903943,0.022019377507352708
weight_avg,spectral_gap,190,-0.04757380652356755,0.5145292077122602,0.022019377507352708,0.7629952405246547,0.04757380652356755,0.022019377507352708
weight_avg,singular_value_ratio,190,0.04757380532009852,0.5145292183625357,-0.022019377507352708,0.7629952405246547,0.04757380532009852,0.022019377507352708
weight_avg,layerwise_effective_rank,190,0.12849889458563085,0.07724848382675313,0.015786487882789198,0.8288480289031401,0.12849889458563085,0.015786487882789198
weight_avg,layerwise_effective_rank_mergeability_score,190,-0.12849889458563085,0.07724848382675313,-0.015786487882789198,0.8288480289031401,0.12849889458563085,0.015786487882789198
weight_avg,task_vector_cosine_similarity,190,0.01814770245015197,0.8037332081275312,-0.14719329699911302,0.04270509542478164,0.01814770245015197,0.14719329699911302
weight_avg,task_vector_l2_distance,190,-0.0979888416097475,0.17862232267635433,-0.09626380913210071,0.1864282338145078,0.0979888416097475,0.09626380913210071
weight_avg,task_vector_dot_product,190,-0.0019670972724384096,0.9785110491267042,-0.09432089715228939,0.1955162030846137,0.0019670972724384096,0.09432089715228939
weight_avg,weight_space_angle,190,-0.02039221811260511,0.7800441564520878,0.14719329699911302,0.04270509542478164,0.02039221811260511,0.14719329699911302
weight_avg,task_vector_magnitude_ratio,190,0.038624815791877966,0.5967426570479141,-0.024874697049047483,0.7333564285282884,0.038624815791877966,0.024874697049047483
weight_avg,singular_value_overlap,190,-0.16821312857666848,0.020345586365356966,-0.15114385553167847,0.0373790282421383,0.16821312857666848,0.15114385553167847
weight_avg,subspace_overlap,190,-0.008096057806880089,0.9117258969603109,-0.22406297799415087,0.0018853408464541443,0.008096057806880089,0.22406297799415087
weight_avg,right_subspace_overlap,190,-0.05855032236782466,0.4223080627106216,-0.12988642144369344,0.0740798012276124,0.05855032236782466,0.12988642144369344
weight_avg,activation_l2_distance,190,-0.34369377770169696,1.2041902016918186e-06,-0.2381934855177402,0.0009350715987782491,0.34369377770169696,0.2381934855177402
weight_avg,activation_cosine_similarity,190,0.39099812513545573,2.4383392651535338e-08,0.26690939215857135,0.00019720027346154908,0.39099812513545573,0.26690939215857135
weight_avg,activation_magnitude_ratio,190,0.005668019316035932,0.9381356524730375,0.002456414605722713,0.9731674522816294,0.005668019316035932,0.002456414605722713
weight_avg,activation_dot_product,190,0.47073375215939495,7.200995116521268e-12,0.44265938374073716,1.6070595299878155e-10,0.47073375215939495,0.44265938374073716
weight_avg,encoder_gradient_cosine_similarity,190,0.09430233596533177,0.1956045495655837,0.11208353909288757,0.12365172465986284,0.09430233596533177,0.11208353909288757
weight_avg,encoder_gradient_l2_distance,190,-0.21785432816710976,0.0025323428637423987,-0.24413069560642972,0.000687764045519988,0.21785432816710976,0.24413069560642972
weight_avg,encoder_gradient_dot_product,189,0.08073057401012401,0.26946188320195363,0.050268647219320846,0.4921271562114876,0.08073057401012401,0.050268647219320846
weight_avg,input_gradient_cosine_similarity,189,-0.027141678519524003,0.7108391439373525,-0.011309351878708325,0.8772538397760308,0.027141678519524003,0.011309351878708325
weight_avg,input_gradient_l2_distance,190,-0.29623461542963386,3.326231432099243e-05,-0.2899907665787971,4.940512790798902e-05,0.29623461542963386,0.2899907665787971
weight_avg,input_gradient_dot_product,189,-0.0853325474613576,0.24301786283067456,0.010417939617490478,0.886861439502909,0.0853325474613576,0.010417939617490478
isotropic,right_subspace_overlap_top_k,185,0.05785583545530545,0.4340698355709771,0.11441527242875314,0.12095797121432277,0.05785583545530545,0.11441527242875314
isotropic,right_subspace_overlap_bottom_k,185,0.3138484566384401,1.3595408645302319e-05,0.3101801968316767,1.7330507828470226e-05,0.3138484566384401,0.3101801968316767
isotropic,interaction_matrix_overlap_top_k,185,0.03769817727443818,0.6104323182472092,0.10902121328546857,0.13962070650303993,0.03769817727443818,0.10902121328546857
isotropic,interaction_matrix_overlap_bottom_k,185,0.30679551766182184,2.1619636731882945e-05,0.3082858320693039,1.9620373563500078e-05,0.30679551766182184,0.3082858320693039
isotropic,effective_rank,185,-0.07101458419307644,0.3367687213178596,-0.10779873677548316,0.14414090621363682,0.07101458419307644,0.10779873677548316
isotropic,effective_rank_mergeability_score,185,0.07101458419307644,0.3367687213178596,0.10779873677548316,0.14414090621363682,0.07101458419307644,0.10779873677548316
isotropic,stable_rank,185,-0.07506016994409323,0.30989507154739465,-0.10779873677548316,0.14414090621363682,0.07506016994409323,0.10779873677548316
