metric,mean_coef,abs_mean_coef,std_coef,cv,sign_agreement,consistency_score
right_subspace_overlap_top_k,10.898747289954917,10.898747289954917,30.45415064702683,2.794279912073271,0.95,0.32823362938641365
right_subspace_overlap_bottom_k,-0.8623161233961583,0.8623161233961583,25.592997501678116,29.679367589798286,0.95,0.031901281890400104
interaction_matrix_overlap_top_k,13.932267818413674,13.932267818413674,43.38707261068749,3.1141428764528376,0.75,0.23334370276274338
interaction_matrix_overlap_bottom_k,-9.838745598029345,9.838745598029345,23.966723712531117,2.4359531862448,0.85,0.33517968888797456
effective_rank,-4.003366723377257,4.003366723377257,20.74715823392555,5.182427595491148,0.4,0.07572276056209891
effective_rank_mergeability_score,-10.859969187295064,10.859969187295064,36.23785179240167,3.336828229810042,0.6,0.17457957159330095
stable_rank,-8.795874165557326,8.795874165557326,33.91067687312278,3.85529353834511,0.5,0.1264128680090832
spectral_gap,-5.875299766100943,5.875299766100943,23.406071647715642,3.983808918640189,0.5,0.12243471963582665
singular_value_ratio,5.647424087766558,5.647424087766558,15.290912557883885,2.7075906277219617,0.85,0.3027506900782318
layerwise_effective_rank,0.3538897890597582,0.3538897890597582,19.950148085956577,56.37389983820295,0.35,0.006197553223750189
layerwise_effective_rank_mergeability_score,10.910130996257067,10.910130996257067,39.39578442456353,3.610935964194166,0.85,0.22905272637453836
task_vector_cosine_similarity,-6.186435913247988,6.186435913247988,23.709659495154003,3.8325232475221394,0.55,0.13985931306230723
task_vector_l2_distance,-1.3804674094542861,1.3804674094542861,11.519660949237286,8.34475394847865,0.5,0.059208356223342265
task_vector_dot_product,-0.018287768587470055,0.018287768587470055,12.36319132325013,676.0357068037131,0.55,0.0008134461683735168
weight_space_angle,2.2596087164245544,2.2596087164245544,4.849324621141547,2.146090411331867,0.6,0.26713083185472364
task_vector_magnitude_ratio,-4.586514921858907,4.586514921858907,18.079519957591028,3.9418862090706046,0.55,0.13607508265960502
singular_value_overlap,9.71973595097661,9.71973595097661,23.759211119255706,2.44442968560521,0.95,0.3733646110853466
subspace_overlap,11.173913858830929,11.173913858830929,42.58895739643052,3.811462831768399,0.5,0.12782941357362881
right_subspace_overlap,0.922049169242382,0.922049169242382,22.849815898936917,24.781558742573658,0.9,0.03617136728898148
activation_l2_distance,-1.4358805190771817,1.4358805190771817,4.340395293774618,3.022810885641108,0.5,0.16011216122597538
activation_cosine_similarity,-0.10497467517852783,0.10497467517852783,19.99277776222259,190.4533243250158,0.1,0.0005247874858873402
activation_magnitude_ratio,-4.792350792419166,4.792350792419166,15.983172049217272,3.335142335813357,0.95,0.27655331486433543
activation_dot_product,4.465637216344476,4.465637216344476,7.099811375765287,1.5898764310456805,0.85,0.5029953577576246
encoder_gradient_cosine_similarity,11.896527311950923,11.896527311950923,40.46153596917392,3.4011215940736053,1.0,0.2856227563454846
encoder_gradient_l2_distance,-5.008673211932182,5.008673211932182,14.822593196727956,2.959385158493108,0.95,0.31051990866946605
encoder_gradient_dot_product,3.335616655519698,3.335616655519698,8.388591225084385,2.514854692925999,0.8,0.30594434259167463
input_gradient_cosine_similarity,6.012997481506318,6.012997481506318,19.298471891489754,3.2094594948276436,1.0,0.30216414540286735
input_gradient_l2_distance,-25.01630587130785,25.01630587130785,85.0937820591191,3.4015326828371197,1.0,0.2855892235139011
input_gradient_dot_product,-1.7659469604492188,1.7659469604492188,7.366115161717118,4.1711983909932115,0.85,0.1990073797069266
