metric,mean_coef,abs_mean_coef,std_coef,cv,sign_agreement,consistency_score
right_subspace_overlap_top_k,15.251968750564265,15.251968750564265,25.391090811654017,1.6647746405897204,0.8,0.4533156707944707
right_subspace_overlap_bottom_k,2.7600519258528946,2.7600519258528946,26.84903142683125,9.727726887332837,0.45,0.045788818224081346
interaction_matrix_overlap_top_k,21.56077288389206,21.56077288389206,34.47611670250357,1.5990204466311264,0.85,0.500288270035483
interaction_matrix_overlap_bottom_k,26.44934039339423,26.44934039339423,53.826541427893844,2.0350806714630325,0.85,0.3981114209691899
effective_rank,0.7705950187519193,0.7705950187519193,19.25651872985505,24.98915514812434,0.35,0.01395025053389117
effective_rank_mergeability_score,0.64803388081491,0.64803388081491,43.10553596833469,66.51740993689232,0.65,0.009757209123196997
stable_rank,-11.982848634570837,11.982848634570837,30.524978559255686,2.547389144657675,0.65,0.24552491699668477
spectral_gap,2.614021845161915,2.614021845161915,18.345238098231775,7.018012516615113,0.75,0.10536649075136127
singular_value_ratio,-3.7376305289566516,3.7376305289566516,23.031043248371226,6.161936822894291,0.25,0.03992374996278692
layerwise_effective_rank,-9.341665134578943,9.341665134578943,29.315548600438422,3.138150227687246,0.55,0.16985005676923812
layerwise_effective_rank_mergeability_score,-9.39673665445298,9.39673665445298,24.065414498357278,2.561039577643439,0.6,0.22547578962780682
task_vector_cosine_similarity,5.3142264328897,5.3142264328897,14.401754262670925,2.7100377481919513,0.6,0.21352026334381272
task_vector_l2_distance,-20.00488174855709,20.00488174855709,30.135804398617935,1.506422520379424,0.9,0.5602511098931975
task_vector_dot_product,0.18795601092278957,0.18795601092278957,12.944484046947084,68.86974933494973,0.5,0.00724955512846311
weight_space_angle,4.805553559213877,4.805553559213877,18.672030875146305,3.885510921107221,0.7,0.17563620169569924
task_vector_magnitude_ratio,-3.4575759664177896,3.4575759664177896,23.814904484906076,6.887745821735907,0.6,0.08586460001645381
singular_value_overlap,-21.135503542423248,21.135503542423248,27.911853005359173,1.3206145259860154,0.95,0.6687246840170292
subspace_overlap,6.928636775538325,6.928636775538325,19.685287224115978,2.841148675191597,0.75,0.255002409883663
right_subspace_overlap,15.611179510317744,15.611179510317744,23.90466360802376,1.5312528804701884,0.85,0.5210718768232906
activation_l2_distance,0.7871624760329723,0.7871624760329723,9.710666704630782,12.336292540526411,0.65,0.052266380666250105
activation_cosine_similarity,9.998978684842587,9.998978684842587,16.80158018154843,1.680329631086681,0.85,0.4774396747422416
activation_magnitude_ratio,-13.819187252409757,13.819187252409757,30.30829799349946,2.193204087764447,0.8,0.348856869856659
activation_dot_product,14.594336895819287,14.594336895819287,18.696732677104656,1.2810950437665718,0.8,0.5792505038742384
encoder_gradient_cosine_similarity,16.364322595344856,16.364322595344856,24.652716700700857,1.5064917317536184,0.95,0.5913506937026041
encoder_gradient_l2_distance,-26.206902608275414,26.206902608275414,26.55325285217632,1.0132159927079432,1.0,0.8982982696533665
encoder_gradient_dot_product,20.153376640379427,20.153376640379427,29.48078985128674,1.4628213605451423,1.0,0.6398683977874353
input_gradient_cosine_similarity,15.0798887969926,15.0798887969926,18.921563376465635,1.2547548339807144,0.85,0.6274197948439283
input_gradient_l2_distance,-31.532513904571534,31.532513904571534,32.93882745515568,1.0445988399273891,1.0,0.8736685423020678
input_gradient_dot_product,-28.273248075693846,28.273248075693846,43.216367019064805,1.5285250172912435,0.9,0.5526473283763162
